player_pair,dealer_upcard,optimal_decision
AA,2,Split
AA,3,Split
AA,4,Split
AA,5,Split
AA,6,Split
AA,7,Split
AA,8,Split
AA,9,Split
AA,10,Split
AA,J,Split
AA,Q,Split
AA,K,Split
AA,A,Split
KQ,2,Stand
KQ,3,Stand
KQ,4,Stand
KQ,5,Stand
KQ,6,Stand
KQ,7,Stand
KQ,8,Stand
KQ,9,Stand
KQ,10,Stand
KQ,J,Stand
KQ,Q,Stand
KQ,K,Stand
KQ,A,Stand
KJ,2,Stand
KJ,3,Stand
KJ,4,Stand
KJ,5,Stand
KJ,6,Stand
KJ,7,Stand
KJ,8,Stand
KJ,9,Stand
KJ,10,Stand
KJ,J,Stand
KJ,Q,Stand
KJ,K,Stand
KJ,A,Stand
K10,2,Stand
K10,3,Stand
K10,4,Stand
K10,5,Stand
K10,6,Stand
K10,7,Stand
K10,8,Stand
K10,9,Stand
K10,10,Stand
K10,J,Stand
K10,Q,Stand
K10,K,Stand
K10,A,Stand
QK,2,Stand
QK,3,Stand
QK,4,Stand
QK,5,Stand
QK,6,Stand
QK,7,Stand
QK,8,Stand
QK,9,Stand
QK,10,Stand
QK,J,Stand
QK,Q,Stand
QK,K,Stand
QK,A,Stand
QJ,2,Stand
QJ,3,Stand
QJ,4,Stand
QJ,5,Stand
QJ,6,Stand
QJ,7,Stand
QJ,8,Stand
QJ,9,Stand
QJ,10,Stand
QJ,J,Stand
QJ,Q,Stand
QJ,K,Stand
QJ,A,Stand
Q10,2,Stand
Q10,3,Stand
Q10,4,Stand
Q10,5,Stand
Q10,6,Stand
Q10,7,Stand
Q10,8,Stand
Q10,9,Stand
Q10,10,Stand
Q10,J,Stand
Q10,Q,Stand
Q10,K,Stand
Q10,A,Stand
JK,2,Stand
JK,3,Stand
JK,4,Stand
JK,5,Stand
JK,6,Stand
JK,7,Stand
JK,8,Stand
JK,9,Stand
JK,10,Stand
JK,J,Stand
JK,Q,Stand
JK,K,Stand
JK,A,Stand
JQ,2,Stand
JQ,3,Stand
JQ,4,Stand
JQ,5,Stand
JQ,6,Stand
JQ,7,Stand
JQ,8,Stand
JQ,9,Stand
JQ,10,Stand
JQ,J,Stand
JQ,Q,Stand
JQ,K,Stand
JQ,A,Stand
J10,2,Stand
J10,3,Stand
J10,4,Stand
