player_cards,dealer_upcard,optimal_decision
A9,2,Stand
A9,3,Stand
A9,4,Stand
A9,5,Stand
A9,6,Stand
A9,7,Stand
A9,8,Stand
A9,9,Stand
A9,10,Stand
A9,J,Stand
A9,Q,Stand
A9,K,Stand
A9,A,Stand
A8,2,Stand
A8,3,Stand
A8,4,Stand
A8,5,Stand
A8,6,Double
A8,7,Stand
A8,8,Stand
A8,9,Stand
A8,10,Stand
A8,J,Stand
A8,Q,Stand
A8,K,Stand
A8,A,Stand
A7,2,Double
A7,3,Double
A7,4,Double
A7,5,Double
A7,6,Double
A7,7,Stand
A7,8,Stand
A7,9,Hit
A7,10,Hit
A7,J,Hit
A7,Q,Hit
A7,K,Hit
A7,A,Hit
A6,2,Hit
A6,3,Double
A6,4,Double
A6,5,Double
A6,6,Double
A6,7,Hit
A6,8,Hit
A6,9,Hit
A6,10,Hit
A6,J,Hit
A6,Q,Hit
A6,K,Hit
A6,A,Hit
A5,2,Hit
A5,3,Hit
A5,4,Double
A5,5,Double
A5,6,Double
A5,7,Hit
A5,8,Hit
A5,9,Hit
A5,10,Hit
A5,J,Hit
A5,Q,Hit
A5,K,Hit
A5,A,Hit
A4,2,Hit
A4,3,Hit
A4,4,Double
A4,5,Double
A4,6,Double
A4,7,Hit
A4,8,Hit
A4,9,Hit
A4,10,Hit
A4,J,Hit
A4,Q,Hit
A4,K,Hit
A4,A,Hit
A3,2,Hit
A3,3,Hit
A3,4,Hit
A3,5,Double
A3,6,Double
A3,7,Hit
A3,8,Hit
A3,9,Hit
A3,10,Hit
A3,J,Hit
A3,Q,Hit
A3,K,Hit
A3,A,Hit
A2,2,Hit
A2,3,Hit
A2,4,Hit
A2,5,Double
A2,6,Double
A2,7,Hit
A2,8,Hit
A2,9,Hit
A2,10,Hit
A2,J,Hit
A2,Q,Hit
A2,K,Hit
A2,A,Hit
9A,2,Stand
9A,3,Stand
9A,4,Stand
9A,5,Stand
9A,6,Stand
9A,7,Stand
9A,8,Stand
9A,9,Stand
9A,10,Stand
9A,J,Stand
9A,Q,Stand
9A,K,Stand
9A,A,Stand
8A,2,Stand
8A,3,Stand
8A,4,Stand
8A,5,Stand
8A,6,Double
8A,7,Stand
8A,8,Stand
8A,9,Stand
8A,10,Stand
8A,J,Stand
8A,Q,Stand
8A,K,Stand
8A,A,Stand
7A,2,Double
7A,3,Double
7A,4,Double
7A,5,Double
7A,6,Double
7A,7,Stand
7A,8,Stand
7A,9,Hit
7A,10,Hit
7A,J,Hit
7A,Q,Hit
7A,K,Hit
7A,A,Hit
6A,2,Hit
6A,3,Double
6A,4,Double
6A,5,Double
6A,6,Double
6A,7,Hit
6A,8,Hit
6A,9,Hit
6A,10,Hit
6A,J,Hit
6A,Q,Hit
6A,K,Hit
6A,A,Hit
5A,2,Hit
5A,3,Hit
5A,4,Double
5A,5,Double
5A,6,Double
5A,7,Hit
5A,8,Hit
5A,9,Hit
5A,10,Hit
5A,J,Hit
5A,Q,Hit
5A,K,Hit
5A,A,Hit
4A,2,Hit
4A,3,Hit
4A,4,Double
4A,5,Double
4A,6,Double
4A,7,Hit
4A,8,Hit
4A,9,Hit
4A,10,Hit
4A,J,Hit
4A,Q,Hit
4A,K,Hit
4A,A,Hit
3A,2,Hit
3A,3,Hit
3A,4,Hit
3A,5,Double
3A,6,Double
3A,7,Hit
3A,8,Hit
3A,9,Hit
3A,10,Hit
3A,J,Hit
3A,Q,Hit
3A,K,Hit
3A,A,Hit
2A,2,Hit
2A,3,Hit
2A,4,Hit
2A,5,Double
2A,6,Double
2A,7,Hit
2A,8,Hit
2A,9,Hit
2A,10,Hit
2A,J,Hit
2A,Q,Hit
2A,K,Hit
2A,A,Hit
